NULL,NULL,"Alberta","AB","Canada",NULL
NULL,NULL,"British Columbia","BC","Canada",NULL
NULL,NULL,"Manitoba","MB","Canada",NULL
NULL,NULL,"New Brunswick","NB","Canada",NULL
NULL,NULL,"Newfoundland and Labrador","NL","Canada",NULL
NULL,NULL,"Northwest Territories","NT","Canada",NULL
NULL,NULL,"Nova Scotia","NS","Canada",NULL
NULL,NULL,"Nunavut","NU","Canada",NULL
NULL,NULL,"Ontario","ON","Canada",NULL
NULL,NULL,"Prince Edward Island","PE","Canada",NULL
NULL,NULL,"Quebec","QC","Canada",NULL
NULL,NULL,"Saskatchewan","SK","Canada",NULL
NULL,NULL,"Yukon","YT","Canada",NULL
NULL,NULL,"Alabama","AL","USA",NULL
NULL,NULL,"Alaska","AK","USA",NULL
NULL,NULL,"American Samoa","AS","USA",NULL
NULL,NULL,"Arizona","AZ","USA",NULL
NULL,NULL,"Arkansas","AR","USA",NULL
NULL,NULL,"California","CA","USA",NULL
NULL,NULL,"Colorado","CO","USA",NULL
NULL,NULL,"Connecticut","CT","USA",NULL
NULL,NULL,"Delaware","DE","USA",NULL
NULL,NULL,"District of Columbia","DC","USA",NULL
NULL,NULL,"Federated States of Micronesia","FM","USA",NULL
NULL,NULL,"Florida","FL","USA",NULL
NULL,NULL,"Georgia","GA","USA",NULL
NULL,NULL,"Guam","GU","USA",NULL
NULL,NULL,"Hawaii","HI","USA",NULL
NULL,NULL,"Idaho","ID","USA",NULL
NULL,NULL,"Illinois","IL","USA",NULL
NULL,NULL,"Indiana","IN","USA",NULL
NULL,NULL,"Iowa","IA","USA",NULL
NULL,NULL,"Kansas","KS","USA",NULL
NULL,NULL,"Kentucky","KY","USA",NULL
NULL,NULL,"Louisiana","LA","USA",NULL
NULL,NULL,"Maine","ME","USA",NULL
NULL,NULL,"Marshall Islands","MH","USA",NULL
NULL,NULL,"Maryland","MD","USA",NULL
NULL,NULL,"Massachusetts","MA","USA",NULL
NULL,NULL,"Michigan","MI","USA",NULL
NULL,NULL,"Minnesota","MN","USA",NULL
NULL,NULL,"Mississippi","MS","USA",NULL
NULL,NULL,"Missouri","MO","USA",NULL
NULL,NULL,"Montana","MT","USA",NULL
NULL,NULL,"Nebraska","NE","USA",NULL
NULL,NULL,"Nevada","NV","USA",NULL
NULL,NULL,"New Hampshire","NH","USA",NULL
NULL,NULL,"New Jersey","NJ","USA",NULL
NULL,NULL,"New Mexico","NM","USA",NULL
NULL,NULL,"New York","NY","USA",NULL
NULL,NULL,"North Carolina","NC","USA",NULL
NULL,NULL,"North Dakota","ND","USA",NULL
NULL,NULL,"Northern Mariana Islands","MP","USA",NULL
NULL,NULL,"Ohio","OH","USA",NULL
NULL,NULL,"Oklahoma","OK","USA",NULL
NULL,NULL,"Oregon","OR","USA",NULL
NULL,NULL,"Palau","PW","USA",NULL
NULL,NULL,"Pennsylvania","PA","USA",NULL
NULL,NULL,"Puerto Rico","PR","USA",NULL
NULL,NULL,"Rhode Island","RI","USA",NULL
NULL,NULL,"South Carolina","SC","USA",NULL
NULL,NULL,"South Dakota","SD","USA",NULL
NULL,NULL,"Tennessee","TN","USA",NULL
NULL,NULL,"Texas","TX","USA",NULL
NULL,NULL,"Utah","UT","USA",NULL
NULL,NULL,"Vermont","VT","USA",NULL
NULL,NULL,"Virgin Islands","VI","USA",NULL
NULL,NULL,"Virginia","VA","USA",NULL
NULL,NULL,"Washington","WA","USA",NULL
NULL,NULL,"West Virginia","WV","USA",NULL
NULL,NULL,"Wisconsin","WI","USA",NULL
NULL,NULL,"Wyoming","WY","USA",NULL
NULL,NULL,"Armed Forces Americas","AA","USA",NULL
NULL,NULL,"Armed Forces Africa","AE","USA",NULL
NULL,NULL,"Armed Forces Pacific","AP","USA",NULL
